Subkey;Values
\Classes\.adn;(default): Access.BlankProjectTemplate.16
\Classes\.adp;"(default): Access.Project.16; Content Type: application/msaccess"
\Classes\.ADT\OpenWithProgIds;WMP11.AssocFile.ADTS: 0
\Classes\.ADT;"(default): WMP11.AssocFile.ADTS; Content Type: audio/vnd.dlna.adts; PerceivedType: audio"
\Classes\.ADTS\OpenWithProgIds;WMP11.AssocFile.ADTS: 0
\Classes\.ADTS;"(default): WMP11.AssocFile.ADTS; Content Type: audio/vnd.dlna.adts; PerceivedType: audio"
\Classes\.ai;Content Type: application/postscript
\Classes\.aif\OpenWithProgIds;WMP11.AssocFile.AIFF: 0
\Classes\.aif\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.aif;"PerceivedType: audio; Content Type: audio/aiff; (default): VLC.aif; VLC.backup: WMP11.AssocFile.AIFF"
\Classes\.aifc\OpenWithProgIds;WMP11.AssocFile.AIFF: 0
\Classes\.aifc\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.aifc;"PerceivedType: audio; Content Type: audio/aiff; (default): VLC.aifc; VLC.backup: WMP11.AssocFile.AIFF"
\Classes\.aiff\OpenWithProgIds;WMP11.AssocFile.AIFF: 0
\Classes\.aiff\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.aiff;"PerceivedType: audio; Content Type: audio/aiff; (default): VLC.aiff; VLC.backup: WMP11.AssocFile.AIFF"
\Classes\.amv;(default): VLC.amv
\Classes\.ani;(default): anifile
\Classes\.ans\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.ans;
\Classes\.aob;(default): VLC.aob
\Classes\.apc;(default): wireshark-capture-file
\Classes\.ape;(default): VLC.ape
\Classes\.api\Acrobat.Plugin\ShellNew;
\Classes\.api\Acrobat.Plugin;
\Classes\.api\OpenWithProgids;"(default): 0; Acrobat.Plugin: 0"
\Classes\.api;(default): Acrobat.Plugin
\Classes\.appcontent-ms\PersistentHandler;(default): {d044309b-5da6-4633-b085-4ed02522e5a5}
\Classes\.appcontent-ms\shellex\{e357fccd-a995-4576-b01f-234630154e96};(default): {7c67eb93-8eff-4e48-889f-45ba299bc46f}
\Classes\.appcontent-ms\shellex;
