Subkey;Values
\Classes\AppID\{C9F65BA8-1F8F-4382-AE27-C91FFB29275F};"(default): RCM; LocalService: TermService"
\Classes\AppID\{ca8c87c1-929d-45ba-94db-ef8e6cb346ad};"(default): User OOBE Create Elevated Object Server; AccessPermission: 010004805800000068000000000000001400000002004400030000000000140003000000010100000000000504000000000014000700000001010000000000050a00000000001400030000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{CB1DFE3A-EDFF-4d1f-867D-8ADB02926F4B};"(default): OpenSearch Description Create Search Connector Verb Handler; DllSurrogate: 0"
\Classes\AppID\{CB363445-F453-4C1E-8EE4-BD123C5E394F};"(default): PrintIsolationSessionHost; AccessPermission: 010004805800000068000000000000001400000002004400030000000000140003000000010100000000000100000000000014000700000001010000000000050a00000000001400030000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; AppIDFlags: 1; LaunchPermission: 010004805c0000007800000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b000000010200000000000520000000200200000000140003000000010100000000000100000000010500000000000515000000a05f841f5e2e6b49ce120303f40100000105000000000005; RunAs: Interactive User"
\Classes\AppID\{CC70FEAD-94B9-4F76-88CC-004BB068ACDF};"(default): EnhancedStorageShell; DllSurrogate: 0; RunAs: Interactive User"
\Classes\AppID\{CCFDD24D-CEAB-458B-A4F1-F884973395DF};"(default): sppui; AccessPermission: 01000480440000005400000000000000140000000200300002000000000014000700000001010000000000050a00000000001400070000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; LaunchPermission: 010004803000000040000000000000001400000002001c0001000000000014001f0000000101000000000001000000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{cd93979b-c14e-4c29-87a4-75e4f9fa5e0a};"(default): GraphicsPerfSvc; AccessPermission: 01001480b8000000c8000000140000003000000002001c000100000011001400040000000101000000000010001000000200880006000000000014000300000001010000000000050a00000000001400030000000101000000000005120000000000140003000000010100000000000513000000000014000300000001010000; LaunchPermission: 010014807c0000008c000000140000003000000002001c0001000000110014000400000001010000000000100010000002004c0003000000000014000b00000001010000000000050a000000000018000b00000001020000000000052000000020020000000018000b0000000102000000000005200000002102000001020000; LocalService: GraphicsPerfSvc"
\Classes\AppID\{cdc32574-7521-4124-90c3-8d5605a34933};(default): Windows Media Player Burn Audio CD Handler
\Classes\AppID\{CDCBCFCA-3CDC-436f-A4E2-0E02075250C2};"(default): Elevated-Unelevated Explorer Factory; AppIDFlags: 1; RunAs: Interactive User"
\Classes\AppID\{CE0E0BE8-CF56-4577-9577-34CC96AC087C};"AccessPermission: 01000480700000007c000000000000001400000002005c00040000000000140003000000010100000000000512000000000014000300000001010000000000051300000000001400030000000101000000000005040000000000180003000000010200000000000f020000000100000001010000000000050a00000001020000; LaunchPermission: 01000480700000007c000000000000001400000002005c0004000000000014000b000000010100000000000512000000000014000b000000010100000000000513000000000014000b000000010100000000000504000000000018000b000000010200000000000f020000000100000001010000000000050a00000001020000"
\Classes\AppID\{CECDDD22-2E72-4832-9606-A9B0E5E344B2};"(default): ServiceModule; LocalService: edgeupdate; ServiceParameters: /comsvc"
\Classes\AppID\{cee8ccc9-4f6b-4469-a235-5a22869eef03};"(default): PNPXAssoc.dll; AccessPermission: 010004805800000068000000000000001400000002004400030000000000140003000000010100000000000504000000000014000700000001010000000000050a00000000001400030000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{CF254B00-1986-4b24-A92D-463D01F7E395};"(default): sdchange; AccessPermission: 01000480440000005400000000000000140000000200300002000000000014000300000001010000000000050400000000001400030000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{D0565000-9DF4-11D1-A281-00C04FCA0AA7};"(default): Event Object Change; DllSurrogate: 0"
\Classes\AppID\{D215781D-019E-4FA0-903D-0CDCDE13A4F5};"(default): Winmgmt MOF Compiler OOP; AccessPermission: 010004804800000054000000000000001400000002003400020000000100180001000000010200000000000520000000210200000000140001000000010100000000000512000000010100000000000512000000010100000000000512000000; LaunchPermission: 010004804800000054000000000000001400000002003400020000000100180001000000010200000000000520000000210200000000140001000000010100000000000512000000010100000000000512000000010100000000000512000000"
\Classes\AppID\{D2E7041B-2927-42fb-8E9F-7CE93B6DC937};"(default): Color Management; DllSurrogate: 0"
\Classes\AppID\{D3DCB472-7261-43ce-924B-0704BD730D5F};"LaunchPermission: 010004807000000080000000000000001400000002005c0004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b00000001010000000000051300000001020000000000052000000020020000; LocalService: fdPHost"
\Classes\AppID\{D4872B74-3AFC-47CD-B8A2-9E4F998539BC};"DllSurrogate: 0; RunAs: Interactive User"
\Classes\AppID\{D63AA156-D534-4BAC-9BF1-55359CF5EC30};"(default): Sync Center User Profile Notification Handler; RunAs: Interactive User"
\Classes\AppID\{D726464B-98F1-4627-86CD-4A082A1E5307};"(default): MoUsoCoreWorker Class; AccessPermission: 01000480b0000000c0000000000000001400000002009c0006000000000014000300000001010000000000050a0000000000140003000000010100000000000512000000000014000300000001010000000000051300000000001800030000000102000000000005200000002002000000001800030000000102000000000005; LaunchPermission: 01000480580000006800000000000000140000000200440002000000000014000b000000010100000000000512000000000028000b000000010600000000000550000000f908570d6dedef6482451a078009dd75ad99a0530102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{D7FD3B01-2F53-40F5-9B8B-453B6E72998E};"DllSurrogate: 0; RunAs: Interactive User"
\Classes\AppID\{D86D3661-4F11-4a9a-AD85-772A52AE6D69};DLLSurrogate: 0
\Classes\AppID\{D8D4249F-A8FB-44A7-8AA0-564E8C385BD6};"(default): Microsoft Software Protection Platform Admin Object (outer); AccessPermission: 010014808800000098000000140000003000000002001c0001000000110014000100000001010000000000100010000002005800020000000000280003000000010600000000000550000000f05b5807c3438c9ac78a72dd8f8cb4df4447e7f80000280003000000010600000000000550000000b589fb381984c2cb5c6c236d; LaunchPermission: 010014808800000098000000140000003000000002001c000100000011001400010000000101000000000010001000000200580002000000000028000b000000010600000000000550000000f05b5807c3438c9ac78a72dd8f8cb4df4447e7f8000028000b000000010600000000000550000000b589fb381984c2cb5c6c236d; LocalService: TrustedInstaller"
\Classes\AppID\{DCED8DB0-11A5-4b16-AB9D-4E28CA38C99F};"AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000300000001010000000000050a000000000014000300000001010000000000051200000000001400030000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{DD9C53BC-8441-4B94-BD0E-36E6E02A6D61};"(default): BrowserBrokerServer; AppIDFlags: 536; LaunchPermission: 010014800001000010010000140000003000000002001c000100000011001400040000000101000000000010001000000200d0000300000009004c000b00000001010000000000050a00000061727478f82e000000570049004e003a002f002f00490053004d0055004c0054004900530045005300530049004f004e0053004b; ProcessMitigationPolicy: 05131101111101001031000000000000; RunAs: Interactive User"
\Classes\AppID\{ddbd2892-874e-431a-911b-78b9e36d308a};"(default): WebManagement; AccessPermission: 010004809c000000ac00000000000000140000000200880006000000000014000700000001010000000000050a00000000001400030000000101000000000005120000000000180007000000010200000000000520000000200200000000180003000000010200000000000f0200000001000000000014000300000001010000; LocalService: WebManagement"
\Classes\AppID\{ddcfd26b-feed-44cd-b71d-79487d2e5e5a};"(default): Srumon Server; AccessPermission: 01000480880000009800000000000000140000000200740005000000000014000300000001010000000000050a0000000000140003000000010100000000000512000000000014000300000001010000000000051300000000001800030000000102000000000005200000002002000000001800030000000102000000000005; LaunchPermission: 01000480880000009800000000000000140000000200740005000000000014000b000000010100000000000512000000000014000b000000010100000000000513000000000018000b00000001020000000000052000000020020000000014000900000001010000000000050400000000001800090000000102000000000005; LocalService: dps"
\Classes\AppID\{de5d803e-5d2a-4b5f-9c63-af25a465cc44};"(default): rundll32.exe; AccessPermission: 01000480880000009800000000000000140000000200740005000000000014000700000001010000000000050a000000000014000300000001010000000000051200000000001800070000000102000000000005200000002002000000001400030000000101000000000005140000000000180003000000010200000000000f; LaunchPermission: 010004807000000080000000000000001400000002005c0004000000000014001f000000010100000000000512000000000014000b000000010100000000000514000000000018001f00000001020000000000052000000020020000000014001f00000001010000000000050400000001020000000000052000000020020000"
\Classes\AppID\{DE5DBCDC-104A-4cbc-A4D5-0C2104A142C5};"(default): AccStore Class; AuthenticationLevel: 1; DllSurrogate: 0"
\Classes\AppID\{DE7D3D65-5454-4EF5-9518-776739DAB39F};"(default): LockScreen Call Broker; RunAs: Interactive User"
\Classes\AppID\{DF4FCC34-067A-4E0A-8352-4A1A5095346E};AppIDFlags: 2048
\Classes\AppID\{DFB65C4C-B34F-435D-AFE9-A86218684AA8};"AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000b00000001010000000000050b000000000014000b00000001010000000000050a000000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; AppIDFlags: 2048; DllSurrogate: 0; LaunchPermission: 01000480580000006800000000000000140000000200440003000000000014000b00000001010000000000050b000000000014000b00000001010000000000050a000000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{E055B85B-22BD-4E15-A34D-46C58AB320AD};"(default): OneSetttings Broker; LaunchPermission: 010014807800000088000000140000003000000002001c000100000011001400040000000101000000000010001000000200480003000000000014000b000000010100000000000504000000000014000b000000010100000000000512000000000018000b000000010200000000000f02000000010000000102000000000005; LocalService: wisvc"
\Classes\AppID\{E10F6C3A-F1AE-4adc-AA9D-2FE65525666E};"(default): Profile Notification Host; DllSurrogate: 0"
\Classes\AppID\{E1789B51-C801-4DB8-9E35-48E5B29F3316};"AccessPermission: 010004805800000068000000000000001400000002004400030000000000140003000000010100000000000504000000000014000300000001010000000000050a00000000001400030000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; AuthenticationLevel: 6; DllSurrogate: 0; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{E2B3C97F-6AE1-41AC-817A-F6F92166D7DD};"AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{e30984f1-b02b-4c27-a40f-23d11b8c1212};"(default): Windows Update Agent User Interface for Published Applications; AccessPermission: 010004805800000068000000000000001400000002004400030000000000140003000000010100000000000504000000000014000300000001010000000000050a00000000001400030000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; AuthenticationLevel: 6; DllSurrogate: 0; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{E32549C4-C2B8-4BCC-90D7-0FC3511092BB};"(default): Scan; RunAs: Interactive User"
\Classes\AppID\{E4422CBC-05DF-4AF1-A84E-A5638479CDE7};"(default): WinRTNet MUA hostserver AppID; AccessPermission: 01001480b4000000c0000000140000003000000002001c000100000011001400040000000101000000000010001000000200840006000000000014000300000001010000000000051200000000001400030000000101000000000005130000000000140003000000010100000000000514000000000014000300000001010000; AppIDFlags: 24576; LaunchPermission: 010014807800000084000000140000003000000002001c000100000011001400040000000101000000000010001000000200480003000000000014000b00000001010000000000050a000000000018000b000000010200000000000f0200000001000000000014000b0000000101000000000005040000000101000000000005; LoadUserSettings: 1"
\Classes\AppID\{e44e9428-bdbc-4987-a099-40dc8fd255e7};"(default): Execute Unknown; AppIDFlags: 32; RunAs: Interactive User"
\Classes\AppID\{E45A56CE-399C-45F0-9E6F-BFAACD3C711F};"(default): Authentication UI CredUI Out of Proc Helper for Non-AppContainer Clients (Failed Mouse In Pointer); AccessPermission: 01001480dc000000ec000000140000003000000002001c000100000011001400040000000101000000000010001000000200ac00060000000000140007000000010100000000000512000000000018000700000001020000000000052000000020020000000014000700000001010000000000050a0000000000140007000000; LaunchPermission: 01000480580000006800000000000000140000000200440003000000000014000b000000010100000000000512000000000014000b000000010100000000000504000000000014000b0000000101000000000005060000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{e4803a36-7232-4ac0-a6af-29d59ebcc303};PreferredServerBitness: 2
\Classes\AppID\{E495081B-BBA5-4b89-BA3C-3B86A686B87A};"(default): upnphost; LaunchPermission: 010004804400000050000000000000001400000002003000020000000100140001000000010100000000000502000000000014000100000001010000000000010000000001010000000000051200000001020000000000052000000020020000; LocalService: upnphost"
\Classes\AppID\{E526CAF8-2FC4-4047-99A3-1DC31802ABF9};"(default): Virtual Factory for Windows Firewall Modern Dialog; AccessPermission: 010004805800000068000000000000001400000002004400030000000000140003000000010100000000000512000000000014000700000001010000000000050a00000000001400030000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 010004807000000080000000000000001400000002005c0004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b00000001010000000000051200000001020000000000052000000020020000"
\Classes\AppID\{e53cd6ee-5c5c-4701-9ff2-c204bfed819d};"(default): ContainerHostActivation; AccessPermission: 010014801c0100002c010000140000003000000002001c000100000011001400040000000101000000000010002000000200ec000900000000001400230000000101000000000001000000000000180023000000010200000000000f0200000001000000000014000300000001010000000000050a0000000000140003000000; LaunchPermission: 01001480e0000000f0000000140000003000000002001c000100000011001400040000000101000000000010002000000200b00006000000000014006b000000010100000000000100000000000018006b000000010200000000000f0200000001000000000014000b00000001010000000000050a000000000018000b000000; LocalService: LicenseManager"
\Classes\AppID\{E6442437-6C68-4f52-94DD-2CFED267EFB9};"(default): TrayDesktopBand; RunAs: Interactive User"
\Classes\AppID\{E7299E79-75E5-47BB-A03D-6D319FB7F886};"(default): Orchestrator Service; LaunchPermission: 0100148094000000a4000000140000003000000002001c000100000011001400040000000101000000000010001000000200640004000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000018000b0000000102000000000005200000002102000000001800; LocalService: UsoSvc"
\Classes\AppID\{E8054D20-497D-4E16-BF41-6E69FCD381A5};"(default): UICOM; AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000300000001010000000000050a000000000014000300000001010000000000051200000000001400030000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{e82567ae-2ea4-4dbc-bc68-8b0a0526d8d5};"AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000b00000001010000000000050b000000000014000b00000001010000000000050a000000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; LaunchPermission: 01000480580000006800000000000000140000000200440003000000000014000b00000001010000000000050b000000000014000b00000001010000000000050a000000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; LocalService: LxssManager"
\Classes\AppID\{E9495B87-D950-4ab5-87A5-FF6D70BF3E90};"(default): wscui.cpl; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{E95186C7-7D80-4311-843D-0702CBC8B1E4};"(default): Remove Device elevation surrogate; AccessPermission: 010004805800000068000000000000001400000002004400030000000000140003000000010100000000000504000000000014000700000001010000000000050a00000000001400030000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{E96767E0-7EAA-45E1-8E7D-64414AFF281A};"(default): File Prop Sheet Page Helper; DllSurrogate: 0"
\Classes\AppID\{E9DD849F-B3CF-4614-94BB-CB2696BD34FB};"(default): Exchange Active Sync Policy Manager Broker; AppIDFlags: 6; AuthenticationLevel: 6"
\Classes\AppID\{EA2C6B24-C590-457B-BAC8-4A0F9B13B5B8};"(default): %systemroot%\System32\UserAccountControlSettings.dll; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{ea7e288b-94c7-4045-bc54-0433a4c87976};"MGOTFlags: 1; RunAs: nt authority\localservice"
\Classes\AppID\{EAB99738-0ADF-4A53-856C-DE58AFDE7682};"(default): Feature Usage Listener; LaunchPermission: 010014801401000024010000140000003000000002001c000100000011001400040000000101000000000010001000000200e40006000000000014000b000000010100000000000504000000000018000b00000001020000000000052000000020020000000014000b000000010100000000000512000000000030000b000000; LocalService: wisvc"
\Classes\AppID\{eadbb044-2aed-4aba-bab5-1f8ae07a4a0c};"(default): SuspendablePerAppRuntimeBroker; AccessPermission: 010014802401000030010000140000003000000002001c000100000011001400040000000101000000000010001000000200f40007000000000014000300000001010000000000050a00000000001400030000000101000000000005120000000000140003000000010100000000000513000000000014000300000001010000; AppIDFlags: 12888; AuthenticationLevel: 6; LaunchPermission: 01001480e8000000f4000000140000003000000002001c000100000011001400040000000101000000000010001000000200b80004000000000014000b00000001010000000000050a000000000018000b000000010200000000000f0200000001000000000038000b000000010a00000000000f0300000000040000a127608f; RunAs: Interactive User"
\Classes\AppID\{eae61b75-98d8-4af9-94e6-84b1c6f77c8a};(default): Convert VHD
\Classes\AppID\{EB521D7D-4095-4E61-88FB-BF25700F142A};"(default): Remote Desktop Services Message Server; AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000300000001010000000000050a000000000014000300000001010000000000051200000000001400030000000101000000000005140000000102000000000005200000002002000001020000000000052000000020020000; LaunchPermission: 010004807000000080000000000000001400000002005c0004000000000014000b000000010100000000000512000000000014000b000000010100000000000514000000000018000b00000001020000000000052000000020020000000014000b00000001010000000000050400000001020000000000052000000020020000; RunAs: Interactive User"
\Classes\AppID\{EBF6A8B8-8259-4EEF-B3A0-E46F90D40563};"(default): Smart Feature Rollout Broker; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000504000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; LocalService: wisvc"
\Classes\AppID\{EC9846B3-2762-4A6B-A214-6ACB603462D2};"AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{ECABB0C3-7F19-11D2-978E-0000F8757E2A};"(default): ComEvents.ComServiceEvents; DllSurrogate: 0"
\Classes\AppID\{ECABB0C6-7F19-11D2-978E-0000F8757E2A};"(default): ComEvents.ComSystemAppEventData; DllSurrogate: 0"
\Classes\AppID\{ed1d0fdf-4414-470a-a56d-cfb68623fc58};(default): Play with Windows Media Player Legacy
\Classes\AppID\{ED6BB178-B06A-47ad-98B3-6066E0CF0147};"(default): Windows Media Player Launch; RunAs: Interactive User"
\Classes\AppID\{edb5f444-cb8d-445a-a523-ec5ab6ea33c7};"(default): Share Manager; DllSurrogate: 0; LoadUserSettings: 1"
\Classes\AppID\{EE3C7093-A852-49BA-8AC8-7DFBEC469F72};"(default): MixedRealityCapture; AccessPermission: 010014806000000070000000140000003000000002001c000100000011001400010000000101000000000010002000000200300002000000000014000b000000010100000000000504000000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; LaunchPermission: 010014806000000070000000140000003000000002001c000100000011001400010000000101000000000010002000000200300002000000000014000b000000010100000000000504000000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; LocalService: MixedRealityCapture"
\Classes\AppID\{EEABBBC4-12D0-48F4-A9C5-9AB471806C29};"(default): CloudExperienceHostAppManager; RunAs: Interactive User"
\Classes\AppID\{EEABD3A3-784D-4334-AAFC-BB13234F17CF};(default): SyncEngineCOMServer
\Classes\AppID\{EF73A51A-EE4A-4E16-9D3A-649245C8F44F};(default): NVXDBat
\Classes\AppID\{efe2d6d8-a81b-41e7-ae77-e5244ab80522};"(default): CloudExperienceHost Broker AppID; AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000300000001010000000000050a000000000014000300000001010000000000051200000000001400030000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000; LaunchPermission: 01000480440000005400000000000000140000000200300002000000000014000b00000001010000000000051200000000001400090000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{F135BE18-BF34-4CBD-B1D5-55D49F0DEDCC};"(default): Microsoft Audio Device Graph Server; AccessPermission: 0100048094000000a400000000000000140000000200800004000000000014000700000001010000000000010000000000001400070000000101000000000005070000000000180003000000010200000000000f02000000010000000000380003000000010a00000000000f0300000000040000abace86417c3b0f1abc5110b; LaunchPermission: 010004803000000040000000000000001400000002001c000100000000001400090000000101000000000005130000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{F1425A67-1545-44A2-AB59-8DF1020452D9};"AccessPermission: 0100148090000000a0000000140000003000000002001c0001000000110014000400000001010000000000100010000002006000040000000000180003000000010200000000000f0200000001000000000014000300000001010000000000050a00000000001400030000000101000000000005120000000000180003000000; LaunchPermission: 010014808c0000009c000000140000003000000002001c0001000000110014000400000001010000000000100010000002005c0004000000000018000b000000010200000000000f0200000001000000000014000b000000010100000000000512000000000014000b000000010100000000000504000000000014000b000000"
\Classes\AppID\{F20DA720-C02F-11CE-927B-0800095AE340};DllSurrogate: 0
\Classes\AppID\{F2383816-917A-46CC-AD2A-5013BED3800F};(default): AcroBroker
\Classes\AppID\{F2506CD7-82C2-43D9-A1D3-F85F5EFE7D09};"(default): AvailableNetworksExperienceFlow; LaunchPermission: 010014804c0000005c000000140000001c00000002000800000000000200300002000000000014000b000000010100000000000504000000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; RunAs: Interactive User"
\Classes\AppID\{F290BFB2-1864-45B1-8804-2654194A87E7};"(default): Virtual Disk Service; AccessPermission: 01000480600000007c000000000000001400000002004c00030000000000180001000000010200000000000520000000200200000000180001000000010200000000000520000000270200000000140001000000010100000000000512000000010500000000000515000000a05f841f5e2e6b49ce120303f401000001050000; LaunchPermission: 01000480600000007c000000000000001400000002004c00030000000000180001000000010200000000000520000000200200000000180001000000010200000000000520000000270200000000140001000000010100000000000512000000010500000000000515000000a05f841f5e2e6b49ce120303f401000001050000; LocalService: vds"
\Classes\AppID\{F2F94BB3-595C-4509-B7EE-243FA2BDEA5B};"(default): FodHelper; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{f32d97df-e3e5-4cb9-9e3e-0eb5b4e49801};"(default): SPPSurrogate; AccessPermission: 0100048084000000940000000000000014000000020070000500000000001400030000000101000000000005130000000000140003000000010100000000000514000000000014000300000001010000000000050a00000000001400030000000101000000000005120000000000180003000000010200000000000520000000; DllSurrogate: 0"
\Classes\AppID\{F3D3AA8D-EF96-4470-848E-BD70B803047A};"(default): NDFAPI; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{f4be747e-45c4-4701-90f1-d49d9ac30248};"(default): PerfCenter Enabler; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{f56b7b2a-5b5a-46d8-b6f9-d927ce34b717};"(default): sdclt; RunAs: Interactive User"
\Classes\AppID\{f59bbec1-0907-4464-b04d-1da329585370};"(default): ActivatableApplicationRegistrar; LaunchPermission: 0100148090000000a0000000140000003000000002001c000100000011001400040000000101000000000010001000000200600004000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014001f0000000101000000000005120000000000180009000000; RunAs: Interactive User"
\Classes\AppID\{F5A6ACF4-FFE0-4934-AE1D-5F960EA0AAD9};"(default): Pen Workspace Discover Broker; LaunchPermission: 010014806400000074000000140000001c00000002000800000000000200480003000000000014000b000000010100000000000504000000000014000b000000010100000000000512000000000018000b000000010200000000000f020000000100000001020000000000052000000020020000010200000000000520000000; RunAs: Interactive User"
\Classes\AppID\{F72671A9-012C-4725-9D2F-2A4D32D65169};"AccessPermission: 010014801801000024010000140000003000000002001c000100000011001400040000000101000000000010001000000200e80007000000000014000300000001010000000000051200000000001400230000000101000000000005040000000000180023000000010200000000000f02000000010000000000280003000000; AppIDFlags: 520; LaunchPermission: 010014801801000024010000140000003000000002001c000100000011001400040000000101000000000010001000000200e80007000000000014000b000000010100000000000512000000000014006b000000010100000000000504000000000018006b000000010200000000000f0200000001000000000028000b000000; RunAs: Interactive User"
\Classes\AppID\{f735e733-d681-4aef-83c1-7ec82cac5ecc};AccessPermission: 0100048084000000940000000000000014000000020070000400000000002800030000000106000000000005500000001290b215be67843709d3151d13d30a3dfbcf7104000014000700000001010000000000050a00000000001400030000000101000000000005120000000000180007000000010200000000000520000000
\Classes\AppID\{F74BCE98-9EB4-4022-8317-11C723E5CCF8};(default): WMPNSSCI
\Classes\AppID\{f7f34f79-6791-4d4e-9f15-9eaecd50bd78};"(default): Account Manager Service; LocalService: shpamsvc"
\Classes\AppID\{f7fa3149-91e7-43b7-8040-b707688ced1a};"(default): CloudExperienceHost Create System Object Server; RunAs: nt authority\system"
\Classes\AppID\{F808DF63-6049-11D1-BA20-006097D2898E};(default): logagent
\Classes\AppID\{F828BB1A-2FAE-4AC4-AE6F-CAC9B529F996};"(default): WLIDFDP; DllSurrogate: 0"
